,close,date,high,low,open,volume
516,370.55,2018-11-13 14:45:00+05:30,370.55,370.4,370.4,150
517,335.4,2018-11-13 15:00:00+05:30,370.55,334.55,370.55,1275
518,353.05,2018-11-13 15:15:00+05:30,353.05,335.4,335.4,150
519,322.55,2018-11-14 09:15:00+05:30,322.55,322.55,322.55,150
520,350.35,2018-11-14 09:30:00+05:30,350.35,322.55,322.55,1350
521,370.8,2018-11-14 09:45:00+05:30,370.8,350.35,350.35,225
522,379.9,2018-11-14 10:00:00+05:30,379.9,370.8,370.8,150
523,388.0,2018-11-14 10:15:00+05:30,395.65,379.9,379.9,525
524,382.6,2018-11-14 10:30:00+05:30,388.0,382.6,388.0,75
525,382.6,2018-11-14 10:45:00+05:30,382.6,382.6,382.6,0
526,349.05,2018-11-14 11:00:00+05:30,382.6,349.05,382.6,225
527,349.05,2018-11-14 11:15:00+05:30,349.05,349.05,349.05,0
528,355.15,2018-11-14 11:30:00+05:30,355.15,349.05,349.05,375
529,355.15,2018-11-14 11:45:00+05:30,355.15,355.15,355.15,0
530,355.15,2018-11-14 12:00:00+05:30,355.15,355.15,355.15,0
531,344.55,2018-11-14 12:15:00+05:30,355.15,340.55,355.15,375
532,351.6,2018-11-14 12:30:00+05:30,351.8,344.55,344.55,450
533,353.75,2018-11-14 12:45:00+05:30,355.0,351.6,351.6,300
534,366.35,2018-11-14 13:00:00+05:30,382.6,353.75,353.75,2100
535,366.35,2018-11-14 13:15:00+05:30,366.35,366.35,366.35,0
536,366.35,2018-11-14 13:30:00+05:30,366.35,366.35,366.35,0
537,366.35,2018-11-14 13:45:00+05:30,366.35,366.35,366.35,0
538,366.35,2018-11-14 14:00:00+05:30,366.35,366.35,366.35,0
539,366.35,2018-11-14 14:15:00+05:30,366.35,366.35,366.35,0
540,366.35,2018-11-14 14:30:00+05:30,366.35,366.35,366.35,0
541,367.0,2018-11-14 14:45:00+05:30,367.0,366.35,366.35,75
542,370.0,2018-11-14 15:00:00+05:30,370.0,367.0,367.0,75
543,370.0,2018-11-14 15:15:00+05:30,370.0,370.0,370.0,0
544,366.45,2018-11-15 09:30:00+05:30,366.45,366.45,366.45,75
545,366.45,2018-11-15 09:45:00+05:30,366.45,366.45,366.45,0
546,366.45,2018-11-15 10:00:00+05:30,366.45,366.45,366.45,0
547,366.45,2018-11-15 10:15:00+05:30,366.45,366.45,366.45,0
548,366.45,2018-11-15 10:30:00+05:30,366.45,366.45,366.45,0
549,350.0,2018-11-15 10:45:00+05:30,366.45,350.0,366.45,75
550,350.0,2018-11-15 11:00:00+05:30,350.0,350.0,350.0,0
551,351.0,2018-11-15 11:15:00+05:30,351.0,350.0,350.0,75
552,342.0,2018-11-15 11:30:00+05:30,351.0,342.0,351.0,75
